predicates,submission_number
K945206,K955863
K945022,K955864
K913595,K955887
K935926,K955901
K950114,K955901
K946227,K955901
K921758,K955901
K934445,K955901
K921460,K955901
K854508,K955901
K953078,K955901
K894278,K955901
K882240,K955901
K942797,K955909
K944253,K955909
K901588,K960001
K953575,K960003
K854587,K960007
K935926,K960024
K950114,K960024
K946227,K960024
K921758,K960024
K921460,K960024
K854508,K960024
K952213,K960024
K894278,K960024
K933203,K960025
K953578,K960025
K935631,K960032
K904627,K960032
K934486,K960032
K922577,K960032
K933057,K960032
K951812,K960032
K952636,K960032
K946304,K960032
K905802,K960032
K922935,K960032
K950661,K960032
K944090,K960032
K940173,K960032
K941841,K960032
K933880,K960032
K911830,K960032
K921251,K960040
K883091,K960040
K895768,K960051
K943788,K960052
K931009,K960070
K932771,K960081
K891929,K960103
K871977,K960103
K894184,K960107
K932123,K960110
K902433,K960110
K925766,K960110
K933969,K960110
K934126,K960110
K933462,K960110
K902435,K960110
K902434,K960110
K934826,K960110
K934495,K960110
K932123,K960111
K902433,K960111
K925766,K960111
K933969,K960111
K934126,K960111
K933462,K960111
K902435,K960111
K902434,K960111
K934826,K960111
K934495,K960111
K932123,K960112
K902433,K960112
K925766,K960112
K933969,K960112
K934126,K960112
K933462,K960112
K902435,K960112
K902434,K960112
K934826,K960112
K934495,K960112
K930731,K960148
K905289,K960148
K946296,K960148
K860267,K960148
K913928,K960148
K902345,K960428
K925002,K960428
K915001,K960428
K944427,K960428
K905056,K960166
K940178,K960166
K914571,K960170
K934084,K960173
K945088,K960173
K945297,K960173
K941090,K960174
K920441,K960181
K925009,K960181
K934485,K960181
K935671,K960181
K905834,K960181
K935664,K960181
K926397,K960181
K934863,K960183
K913129,K960194
K930191,K960194
K930007,K960195
K830767,K960240
K875076,K960245
K910383,K960247
K801939,K960247
K941352,K960602
K954855,K960225
K942749,K960229
K945750,K960229
K912669,K960229
K872242,K960229
K943392,K960232
K943283,K960234
K933092,K960234
K894226,K960254
K913473,K960255
K905263,K960255
K780977,K960255
K894051,K960258
K913060,K960258
K942330,K960258
K942406,K960258
K913208,K960258
K913475,K960265
K913770,K960265
K951358,K960266
K912470,K960266
K924310,K960266
K893544,K960276
K874531,K960281
K880551,K960281
K920631,K960285
K864561,K960285
K883847,K960285
K945827,K960294
K895151,K960294
K792561,K960297
K864403,K960297
K945674,K960297
K914558,K960297
K945500,K960297
K955386,K960302
K922561,K960302
K912426,K960302
K922500,K960303
K854046,K960303
K861450,K960303
K882974,K960307
K891774,K960311
K930404,K960318
K921112,K960326
K934523,K960338
K935300,K960338
K922561,K960340
K790413,K960372
K801623,K960374
K941836,K960376
K905405,K960377
K905405,K960378
K941836,K960380
K941353,K960381
K833113,K960392
K930666,K960400
K930667,K960400
K931743,K960406
K930057,K960406
K950882,K960406
K894446,K960406
K945396,K960406
K923575,K960413
K902990,K960413
K913136,K960413
K860589,K960415
K936168,K960415
K934126,K960417
K872166,K960427
K921873,K960448
K930892,K960448
K951233,K960448
K945064,K960451
K932029,K960451
K874063,K960456
K932652,K960456
K940978,K960494
K936133,K960429
K912124,K960429
K903730,K960429
K915889,K960439
K890325,K960445
K943617,K960468
K894053,K960468
K944400,K960468
K770428,K960473
K864929,K960473
K900388,K960473
K953074,K960475
K891773,K960496
K943250,K960496
K902481,K960474
K893662,K960485
K870986,K960485
K893619,K960497
K945827,K960497
K860571,K960503
K904386,K960503
K912701,K960503
K924383,K960503
K952292,K960518
K903764,K960518
K942210,K960518
K943509,K960518
K933812,K960519
K820973,K960519
K941312,K960521
K936109,K960521
K926232,K960524
K813371,K960524
K850441,K960524
K920341,K960520
K872362,K960522
K891282,K960522
K903288,K960522
K915236,K960522
K940207,K960533
K792291,K960533
K924018,K960533
K792022,K960533
K903810,K960533
K931524,K960533
K921622,K960533
K940207,K960537
K792022,K960537
K924018,K960537
K903810,K960537
K931524,K960537
K792291,K960537
K881288,K960538
K902365,K960538
K954403,K960542
K954395,K960542
K812116,K960547
K890720,K960547
K881838,K960547
K790062,K960556
K942822,K960557
K934428,K960574
K940835,K960593
K872037,K960593
K893665,K960593
K942120,K960613
K913770,K960613
K884329,K960614
K863784,K960614
K951112,K960620
K791736,K960621
K891101,K960621
K474062,K960621
K920355,K960621
K914375,K960632
K831868,K960632
K833621,K960632
K831840,K960632
K822875,K960632
K944963,K960639
K935235,K960641
K850858,K960648
K850305,K960648
K931246,K960651
K931783,K960655
K915571,K960661
K900590,K960677
K900624,K960677
K953578,K960678
K800766,K960665
K950319,K960680
K950319,K960684
K792670,K960692
K873700,K960700
K951256,K960705
K830016,K960706
K910866,K960706
K934484,K960712
K901274,K960712
K922345,K960712
K951262,K960714
K911783,K960714
K944612,K960714
K942233,K960714
K810182,K960728
K860158,K960728
K930080,K960732
K914253,K960733
K934553,K960739
K901763,K960747
K944129,K960748
K852069,K960754
K925369,K960755
K904171,K960755
K934355,K960755
K896807,K960755
K944219,K960755
K885154,K960755
K800178,K960755
K871536,K960765
K960716,K960765
K925670,K960774
K925670,K960776
K800482,K960777
K801152,K960777
K792649,K960777
K801980,K960777
K922507,K960778
K833611,K960785
K915275,K960790
K922552,K960801
K954941,K960804
K933576,K960805
K941312,K960820
K946304,K960820
K931812,K960823
K951864,K960823
K915889,K960825
K951233,K960825
K953340,K960827
K910834,K960827
K791407,K960853
K926547,K960853
K944566,K960857
K921806,K960858
K940905,K960860
K925226,K960872
K930080,K960873
K820771,K960880
K923487,K960880
K930080,K960885
K943642,K961284
K920937,K960894
K892235,K960901
K882683,K960902
K952811,K960914
K953386,K960914
K952812,K960914
K952167,K960914
K955369,K960914
K915183,K960916
K871131,K960916
K901063,K960921
K925401,K960921
K951368,K960923
K941836,K960926
K950821,K960934
K941811,K960934
K954860,K960946
K843566,K960954
K874788,K960954
K883133,K960963
K894841,K960971
K913127,K960971
K932062,K960971
K912918,K960971
K913430,K960971
K903288,K960971
K945827,K960973
K944973,K960973
K930479,K960975
K940861,K960976
K936008,K960976
K823420,K960976
K942269,K960983
K923578,K960987
K935631,K961006
K950684,K961006
K890121,K961007
K950611,K961007
K945188,K961023
K912420,K961027
K914453,K961027
K895614,K961029
K854587,K961036
K882061,K961048
K926514,K961048
K872027,K961048
K944013,K961055
K922876,K961063
K955531,K961069
K943450,K961069
K946322,K961070
K950365,K961089
K934415,K961089
K896663,K961089
K932791,K961089
K933018,K961092
K903768,K961092
K932123,K961382
K902433,K961382
K925766,K961382
K933969,K961382
K934126,K961382
K933462,K961382
K902435,K961382
K902434,K961382
K934826,K961382
K934495,K961382
K932123,K961383
K902433,K961383
K925766,K961383
K933969,K961383
K934126,K961383
K933462,K961383
K902435,K961383
K902434,K961383
K934826,K961383
K934495,K961383
K932123,K961384
K902433,K961384
K925766,K961384
K933969,K961384
K934126,K961384
K933462,K961384
K902435,K961384
K902434,K961384
K934826,K961384
K934495,K961384
K932123,K961385
K902433,K961385
K925766,K961385
K933969,K961385
K934126,K961385
K933462,K961385
K902435,K961385
K902434,K961385
K934826,K961385
K934495,K961385
K932123,K961386
K902433,K961386
K925766,K961386
K933969,K961386
K934126,K961386
K933462,K961386
K902435,K961386
K902434,K961386
K934826,K961386
K934495,K961386
K932123,K961387
K902433,K961387
K925766,K961387
K933969,K961387
K934126,K961387
K933462,K961387
K902435,K961387
K902434,K961387
K934826,K961387
K934495,K961387
K952620,K961103
K892425,K961120
K854886,K961120
K924154,K961121
K940092,K961135
K897041,K961135
K781954,K961135
K913495,K961143
K950680,K961154
K932211,K961155
K942139,K961158
K960620,K961159
K944089,K961161
K942616,K961161
K895317,K961161
K954276,K961168
K905070,K961168
K911783,K961168
K790565,K961180
K791498,K961181
K923160,K961182
K931907,K961183
K894270,K961183
K813338,K961185
K951764,K961208
K942709,K961194
K900263,K961194
K934641,K961195
K911493,K961224
K902722,K961224
K911484,K961224
K933873,K961224
K860272,K961225
K925286,K961238
K924808,K961238
K941864,K961238
K914012,K961238
K941603,K961242
K930320,K961242
K845046,K961245
K811411,K961245
K904226,K961256
K914277,K961262
K911292,K961262
K923993,K961262
K890515,K961271
K925074,K961271
K890505,K961271
K821175,K961276
K922744,K961278
K885093,K961278
K932030,K961278
K922745,K961278
K910422,K961279
K924647,K961279
K875156,K961283
K953818,K961283
K934557,K961283
K945294,K961283
K954761,K961291
K940029,K961294
K950615,K961294
K953133,K961294
K942709,K961295
K926408,K961295
K934116,K961296
K945494,K961296
K911454,K961307
K925828,K961310
K921460,K961310
K952565,K961323
K864084,K961323
K944320,K961327
K953343,K961327
K952834,K961328
K945070,K961328
K863468,K961337
K942301,K961349
K952637,K961354
K952725,K961355
K844273,K961357
K912178,K961376
K930314,K961362
K950004,K961362
K915624,K961362
K931020,K961362
K940043,K961375
K952977,K961375
K952971,K961375
K933018,K961391
K941332,K961403
K951129,K961404
K943253,K961430
K940232,K961430
K943810,K961430
K950658,K961430
K950632,K961430
K943284,K961435
K945692,K961435
K913695,K961450
K862819,K961458
K870657,K961458
K861087,K961458
K953533,K961445
K863138,K961445
K925852,K961445
K913074,K961445
K905289,K961446
K944735,K961447
K930553,K961447
K880614,K961449
K885130,K961449
K862267,K961449
K811033,K961449
K903730,K961449
K912124,K961449
K821993,K961449
K811447,K961449
K781729,K961449
K865061,K961449
K852272,K961449
K812302,K961449
K945406,K961449
K943355,K961451
K952565,K961452
K895764,K961452
K932508,K961464
K930090,K961464
K954678,K961464
K884667,K961464
K895836,K961471
K838445,K961474
K861436,K961474
K870027,K961476
K896901,K961487
K900883,K961489
K901346,K961490
K915195,K961491
K950597,K961495
K925126,K961495
K883638,K961495
K931172,K961501
K882506,K961502
K934116,K961507
K945494,K961507
K955096,K961511
K842163,K961511
K852766,K961511
K943186,K961511
K910432,K961511
K770432,K961527
K871978,K961536
K850393,K961536
K946346,K961555
K934918,K961563
K951579,K961563
K934918,K961564
K951574,K961564
K850020,K961564
K934918,K961567
K951574,K961567
K832006,K961568
K934918,K961568
K951574,K961568
K875156,K961569
K953818,K961569
K844068,K961569
K900926,K961569
K934557,K961569
K934918,K961570
K951574,K961570
K940537,K961571
K872454,K961571
K873073,K961571
K950074,K961572
K930810,K961573
K954443,K961578
K942117,K961579
K951658,K961585
K925421,K961591
K921244,K961591
K933247,K961591
K930080,K961609
K920997,K961610
K955063,K961611
K925274,K961623
K952292,K961626
K953341,K961626
K945782,K961626
K915460,K961626
K936047,K961626
K954207,K961626
K883825,K961626
K925587,K961626
K880681,K961626
K945938,K961626
K900113,K961626
K851396,K961626
K911806,K961628
K924349,K961628
K931544,K961637
K905070,K961637
K954276,K961639
K942233,K961639
K920689,K961639
K943468,K961639
K833326,K961644
K871037,K961649
K934907,K961657
K905689,K961659
K904413,K961659
K914857,K961659
K961462,K961659
K955338,K962416
K943336,K961673
K921275,K961680
K913886,K961680
K903545,K961683
K941692,K961697
K760093,K961697
K931417,K961699
K942797,K961701
K945212,K961701
K953098,K961703
K915522,K961703
K880103,K961717
K864983,K961725
K900003,K961725
K945516,K961727
K902712,K961727
K942330,K961727
K923934,K961727
K944964,K961728
K944962,K961736
K910611,K961737
K944427,K961758
K933741,K961758
K915001,K961758
K902345,K961758
K925002,K961758
K921297,K961742
K942043,K961742
K831086,K961742
K770561,K961745
K780126,K961745
K810460,K961745
K850820,K961745
K894343,K961745
K932733,K961745
K884494,K961745
K771982,K961745
K894446,K961745
K943450,K961747
K954013,K961748
K953034,K961752
K936179,K961753
K915362,K961768
K903207,K961771
K895086,K961773
K903493,K961794
K894051,K961799
K944254,K961800
K923160,K961800
K850391,K961803
K921895,K961810
K923657,K961810
K923657,K961811
K842066,K961811
K946227,K961820
K921460,K961820
K854508,K961820
K953078,K961820
K894278,K961820
K951595,K961824
K952337,K961824
K860894,K961824
K954992,K961824
K902526,K961825
K883239,K961825
K903430,K961828
K955901,K961831
K950114,K961831
K946227,K961831
K921758,K961831
K921460,K961831
K854508,K961831
K894278,K961831
K952748,K961856
K771653,K961857
K811452,K961858
K944463,K961858
K933299,K961871
K914525,K961871
K933664,K961871
K930530,K961872
K941407,K961873
K950114,K961874
K946227,K961874
K921758,K961874
K921460,K961874
K854508,K961874
K953078,K961874
K894278,K961874
K921297,K961886
K952191,K961890
K953894,K961902
K901613,K962295
K891695,K962295
K945887,K962295
K944195,K962295
K951887,K962295
K936047,K961915
K924908,K961934
K902338,K961934
K896313,K961936
K780621,K961936
K772104,K961936
K921111,K961939
K913231,K961939
K954935,K961939
K944518,K961939
K851422,K961939
K910664,K961939
K934412,K961939
K943253,K961940
K950658,K961940
K950632,K961940
K940232,K961940
K954322,K961941
K944837,K961959
K945109,K961959
K890925,K961959
K930732,K961959
K771219,K961977
K851856,K961977
K920547,K961980
K897106,K961980
K920950,K961983
K903339,K962020
K942924,K962020
K933373,K962021
K863696,K962022
K943584,K962031
K933582,K962031
K883743,K962036
K910198,K962041
K933887,K962043
K945386,K962048
K943798,K962048
K922846,K962048
K882821,K962065
K915668,K962065
K922939,K962077
K910720,K962077
K871390,K962077
K933558,K962080
K870027,K962085
K834464,K962099
K871453,K962101
K892644,K962101
K930963,K962101
K954954,K962103
K930790,K962103
K921103,K962104
K860894,K962523
K933873,K962114
K912453,K962114
K791006,K962115
K882609,K962115
K782079,K962115
K821438,K962115
K950018,K962115
K954190,K962117
K932648,K962119
K923977,K962123
K945398,K962130
K946227,K962131
K921460,K962131
K832761,K962131
K854508,K962131
K894278,K962131
K932687,K962132
K954845,K962133
K935724,K962133
K954824,K962147
K942736,K962154
K934523,K962155
K950934,K962160
K952276,K962160
K930560,K962160
K933495,K962160
K780406,K962161
K955122,K962174
K890411,K962174
K893713,K962182
K920010,K962198
K920007,K962199
K920014,K962200
K920008,K962201
K920006,K962202
K902345,K962218
K925002,K962218
K915001,K962218
K944427,K962218
K921180,K962231
K920829,K962231
K930304,K962231
K930305,K962231
K930776,K962231
K942676,K962231
K932608,K962231
K930890,K962231
K930306,K962231
K932605,K962231
K932607,K962231
K792022,K962236
K931155,K962236
K924018,K962236
K955734,K962242
K934432,K962255
K912089,K962255
K864584,K962260
K915896,K962265
K923456,K962265
K955135,K962266
K792561,K962272
K945674,K962272
K922273,K962294
K932127,K962294
K780913,K962294
K771603,K962294
K924186,K962294
K926272,K962294
K882233,K962294
K942328,K962294
K810306,K962294
K862019,K962294
K894500,K962307
K762307,K962307
K942379,K962307
K900452,K962307
K942580,K962319
K943450,K962321
K821717,K962342
K955349,K962342
K811841,K962342
K960823,K962348
K931812,K962348
K941572,K962348
K902624,K962369
K920213,K962372
K932925,K962372
K931154,K962380
K930892,K962397
K953877,K962397
K926384,K962397
K904436,K962397
K925771,K962403
K925768,K962403
K961737,K962403
K925779,K962403
K925770,K962403
K925775,K962403
K961728,K962403
K925774,K962403
K892223,K962406
K943997,K962406
K860894,K962406
K892223,K962410
K943997,K962410
K860894,K962410
K881501,K962423
K902481,K962427
K810266,K962428
K904289,K962428
K920424,K962428
K933495,K962439
K900510,K962440
K905425,K962441
K904289,K962442
K900510,K962442
K951836,K962442
K952039,K962445
K955531,K962445
K943450,K962445
K961069,K962445
K833924,K962460
K934918,K962460
K951579,K962460
K912461,K962462
K952573,K962472
K912451,K962472
K955051,K962485
K952922,K962494
K941780,K962494
K930115,K962494
K961471,K962495
K872981,K962495
K933878,K962499
K951256,K962503
K960705,K962503
K951552,K962512
K950412,K962513
K962593,K962513
K962573,K962513
K882303,K962516
K926382,K962516
K904226,K962519
K955066,K962533
K881763,K962544
K955065,K962555
K952191,K962560
K910836,K962560
K961890,K962560
K961491,K962573
K961501,K962575
K961500,K962575
K905464,K962596
K954039,K962618
K894042,K962910
K791619,K962644
K060496,K962646
K902197,K962651
K912859,K962651
K942117,K962671
K942117,K962674
K942953,K962677
K911752,K962699
K896095,K962699
K820973,K962736
K914181,K962736
K880563,K962750
K880565,K962750
K770088,K962762
K942493,K962785
K951864,K962785
K955821,K962801
K944320,K962801
K931173,K962801
K945070,K962801
K955821,K962802
K944320,K962802
K931173,K962802
K945070,K962802
K801043,K962856
K905768,K962856
K881252,K962856
K884844,K962856
K830671,K962856
K854301,K962856
K961245,K962858
K961270,K962858
K955132,K962858
K955121,K962858
K875353,K962858
K904669,K962901
K953383,K962906
K925435,K962906
K202224,K962934
K875143,K962946
K931154,K963033
K960393,K963039
K960394,K963039
K960404,K963039
K905484,K963066
K913525,K963093
K926056,K963093
K910115,K963093
K910902,K963093
K924862,K963143
K924862,K963147
K924862,K963163
K924862,K963164
K924862,K963165
K924862,K963167
K923657,K963175
K954665,K963175
K942911,K963175
K924862,K963178
K924862,K963181
K924862,K963182
K912143,K963191
K913470,K963191
K914181,K963252
K840033,K963252
K935129,K963275
K913241,K963334
K960494,K963519
K801109,K930683
K895704,K930683
K902344,K930683
K933841,K932683
K932683,K933841
K895232,K942685
K922927,K942685
K881416,K943535
K832714,K943535
K910241,K944036
K863207,K946127
K901117,K946127
K850648,K946127
K901587,K950099
K914306,K950099
K923239,K950099
K922767,K950099
K901005,K950099
K923242,K950099
K920116,K950099
K923241,K950099
K904243,K950099
K914966,K950099
K924381,K950099
K922617,K950099
K922520,K950099
