predicates,submission_number
K932903,K033559
K002781,K033559
K952659,K033559
K002999,K033559
K983732,K033577
K020779,K033578
K771412,K033579
K011257,K033591
K020428,K033591
K011538,K033591
K013362,K033696
K993138,K033696
K993385,K033696
K021726,K033720
K993627,K033732
K780020,K033863
K982243,K033863
K982893,K033900
K001519,K033900
K983303,K033900
K990810,K033900
K002379,K033943
K003758,K033943
K003363,K033943
K012891,K033973
K993637,K033973
K912642,K034005
K992652,K034005
K032652,K034005
K030226,K034009
K010175,K034009
K080226,K034009
K020332,K034026
K030288,K040047
K921559,K040049
K013623,K040103
K946158,K040120
K946157,K040120
K946159,K040120
K032302,K040170
K032158,K040170
K032284,K040170
K031671,K040170
K854415,K040189
K012263,K040202
K993433,K040202
K993535,K040223
K012105,K040223
K013003,K040223
K041710,K040270
K991696,K040270
K032117,K040270
K021508,K040270
K046270,K040270
K990086,K040283
K982597,K040283
K993490,K040283
K955361,K040290
K001767,K040290
K010778,K040301
K992692,K040303
K021794,K040311
K022678,K040318
K971925,K040318
K020465,K040318
K803250,K040335
K021356,K040335
K870803,K040335
K040355,K040335
K003250,K040354
K031399,K040419
K040980,K040419
K002371,K040426
K993148,K040485
K024161,K040487
K003493,K040501
K970321,K040501
K001148,K040501
K031307,K040518
K981299,K040518
K953074,K040563
K030147,K040563
K001686,K040574
K982910,K040574
K001646,K040574
K984535,K040574
K992608,K040574
K980642,K040574
K010925,K040574
K022132,K040574
K010093,K040574
K970839,K040574
K970460,K040574
K993071,K040574
K961687,K040574
K953760,K040592
K994358,K040592
K101196,K040592
K881787,K040592
K934474,K040592
K011968,K040592
K011084,K040592
K921114,K040601
K021728,K040601
K030923,K040601
K993082,K040601
K021012,K040625
K890869,K040625
K002883,K040627
K003523,K040627
K965156,K040627
K021349,K040627
K002168,K040671
K991888,K040671
K991823,K040684
K001842,K040684
K023938,K040684
K915857,K040684
K002231,K040684
K011869,K040684
K001975,K040744
K013201,K040744
K040859,K040890
K040946,K040757
K022859,K040757
K032302,K040757
K041661,K040757
K033984,K040757
K014009,K040778
K980719,K040788
K012885,K040849
K992232,K040866
K030659,K040866
K990063,K040875
K032959,K040883
K914145,K040883
K991487,K040883
K021885,K040887
K950956,K040888
K982180,K040888
K944186,K040889
K942263,K040889
K010810,K040889
K022043,K040912
K946357,K040912
K851172,K040958
K900371,K040959
K040954,K040959
K941764,K040972
K761061,K040973
K761060,K040974
K014034,K040975
K915077,K040976
K801896,K040977
K010805,K041005
K963440,K041005
K021615,K041005
K032431,K041005
K003460,K041011
K983054,K041011
K970808,K041011
K011677,K041011
K971586,K041018
K002520,K041018
K911567,K041038
K020485,K041038
K960581,K041038
K972464,K041038
K942459,K041059
K973507,K041059
K944468,K041059
K862163,K041059
K891290,K041062
K926510,K041063
K023147,K041066
K040004,K041069
K021883,K041069
K040004,K041075
K983818,K041075
K012186,K041080
K020393,K041080
K020839,K041086
K003886,K041086
K033549,K041086
K040081,K041086
K830233,K041088
K021316,K041090
K010825,K041096
K823902,K041096
K031061,K041100
K030401,K041110
K002191,K041110
K022982,K041110
K033236,K041110
K022362,K041149
K020341,K041149
K031033,K041149
K032405,K041149
K010312,K041149
K040248,K041149
K022980,K041149
K941366,K041170
K990203,K041170
K951517,K041170
K020615,K041170
K033455,K041172
K021755,K041172
K924278,K041208
K924278,K041210
K960951,K041211
K961008,K041222
K002705,K041222
K830822,K041224
K031287,K041224
K000463,K041238
K013825,K041242
K030834,K041242
K982395,K041272
K933139,K041272
K991279,K041284
K001081,K041294
K974725,K041294
K031422,K041294
K011797,K041294
K931163,K041311
K931166,K041311
K931164,K041311
K931165,K041311
K892432,K041311
K024367,K041342
K964240,K041342
K049342,K041342
K022888,K041364
K030504,K041374
K011056,K041374
K003275,K041389
K926410,K041390
K913724,K041392
K864547,K041406
K020522,K041407
K003043,K041407
K982132,K041430
K003251,K041430
K021492,K041432
K991081,K041477
K021480,K041490
K023469,K041495
K924721,K041496
K023039,K041496
K962288,K041501
K014239,K041501
K022868,K041501
K032065,K041501
K961699,K041501
K023540,K041501
K890766,K041506
K960327,K041510
K001173,K041510
K961389,K041511
K001185,K041511
K961925,K041512
K001172,K041512
K960328,K041514
K990089,K041514
K984374,K041515
K990951,K041515
K952224,K041525
K913247,K041525
K920273,K041525
K012580,K041530
K032816,K041530
K921889,K041541
K001434,K041553
K010673,K041553
K003590,K041553
K000540,K041553
K032245,K041553
K021434,K041553
K012923,K041553
K010618,K041554
K032205,K041554
K020856,K041554
K020453,K041554
K030897,K041554
K033549,K041554
K003886,K041554
K992482,K041554
K033181,K041554
K020941,K041554
K895700,K041579
K841492,K041579
K003995,K041614
K012070,K041614
K023505,K041619
K792558,K041623
K850289,K041623
K021649,K041626
K023556,K041626
K021646,K041626
K001364,K041626
K031565,K041626
K031899,K041626
K982429,K041626
K972357,K041630
K970080,K041630
K901206,K041630
K001122,K041632
K020110,K041632
K013718,K041632
K905655,K041632
K031079,K041633
K021777,K041633
K031082,K041633
K032310,K041642
K001519,K041642
K032930,K041648
K011244,K041658
K970007,K041658
K810338,K041659
K002287,K041659
K040415,K041669
K030879,K041669
K973547,K041696
K021883,K041698
K003227,K041698
K020631,K041703
K000665,K041708
K953946,K041715
K040185,K041717
K942010,K041736
K905581,K041740
K972436,K041755
K003518,K041755
K012535,K041757
K031787,K041774
K992608,K041775
K023366,K041775
K970165,K041775
K920954,K041781
K982789,K041781
K003043,K041798
K030744,K041798
K003155,K041798
K021881,K041808
K030551,K041810
K032504,K041810
K011083,K041810
K001588,K041810
K033584,K041810
K974022,K041810
K011634,K041810
K013463,K041810
K020557,K041810
K020832,K041810
K991960,K041810
K943183,K041820
K982242,K041823
K932699,K041824
K913028,K041824
K954465,K041824
K940075,K041824
K954463,K041824
K951987,K041825
K030612,K041825
K953274,K041825
K032295,K041825
K923368,K041826
K960806,K041826
K030637,K041826
K003105,K041826
K023351,K041826
K002533,K041826
K000177,K041826
K994314,K041833
K010034,K041849
K992198,K041849
K033389,K041849
K000788,K041850
K012091,K041850
K000760,K041850
K003016,K041850
K030825,K041854
K983717,K041854
K020534,K041854
K021447,K041854
K960778,K041855
K991915,K041858
K002644,K041858
K002290,K041874
K992859,K041874
K033268,K041877
K032342,K041882
K962988,K041882
K990172,K041882
K011342,K041882
K980182,K041884
K024179,K041885
K031612,K041885
K023621,K041885
K011541,K041892
K013425,K041892
K033474,K041892
K002890,K041893
K013151,K041893
K013419,K041897
K013428,K041897
K021306,K041899
K031770,K041899
K944620,K041903
K944759,K041903
K040048,K041903
K040043,K041903
K010981,K041908
K922052,K041908
K000045,K041917
K974581,K041918
K002030,K041918
K022209,K041919
K982324,K041920
K021100,K041920
K961848,K041934
K003723,K041934
K030981,K041937
K923851,K041937
K032100,K041937
K981424,K041937
K991952,K041940
K031803,K041940
K971409,K041940
K003391,K041940
K982032,K041940
K020847,K041943
K992914,K041943
K011382,K041943
K003705,K041943
K031451,K041943
K000788,K041950
K001942,K041950
K021178,K041950
K031110,K041950
K023543,K041957
K012398,K041957
K013499,K041957
K024064,K041959
K030805,K041959
K003614,K041959
K031671,K041959
K033909,K041962
K991484,K041963
K963646,K041967
K033586,K041969
K033946,K041969
K033549,K041969
K940663,K041971
K984532,K041971
K002237,K041971
K012120,K041975
K901967,K041978
K760093,K041983
K023090,K041983
K033830,K041983
K965228,K041988
K982095,K041988
K040943,K041992
K012052,K041992
K023111,K041999
K972347,K042000
K003460,K042000
K030453,K042000
K971843,K042000
K040005,K042000
K032459,K042000
K033176,K042000
K000023,K042000
K010285,K042000
K022709,K042000
K033172,K042000
K014234,K042000
K040131,K042000
K031954,K042000
K033946,K042000
K974896,K042000
K023954,K042000
K021762,K042000
K031184,K042000
K033251,K042000
K971671,K042001
K882517,K042001
K871268,K042001
K983999,K042001
K002817,K042002
K004017,K042002
K990727,K042002
K032466,K042002
K930564,K042002
K896396,K042002
K020213,K042002
K946090,K042006
K903071,K042006
K031924,K042006
K922072,K042006
K032798,K042006
K904768,K042006
K991556,K042007
K993036,K042007
K033474,K042007
K982992,K042007
K032363,K042007
K980182,K042018
K032126,K042021
K992065,K042021
K003801,K042021
K994393,K042021
K980244,K042021
K003728,K042021
K990136,K042021
K010124,K042021
K994392,K042021
K984541,K042021
K960906,K042021
K974044,K042021
K981487,K042021
K032679,K042021
K101109,K042021
K012212,K042021
K001419,K042021
K990137,K042021
K011099,K042021
K030501,K042029
K030037,K042032
K020554,K042032
K031203,K042032
K981847,K042035
K990261,K042035
K991162,K042035
K012918,K042035
K984028,K042037
K021249,K042037
K031963,K042037
K002106,K042037
K011110,K042037
K011985,K042038
K003175,K042039
K013863,K042039
K013913,K042040
K944620,K042043
K944759,K042043
K040048,K042043
K023357,K042051
K032396,K042051
K030254,K042057
K021100,K042057
K895953,K042058
K991102,K042060
K030960,K042069
K955404,K042069
K013165,K042069
K894317,K042070
K031276,K042073
K022380,K042074
K944620,K042076
K944759,K042076
K040048,K042076
K981361,K042077
K972558,K042077
K031960,K042083
K014000,K042083
K040683,K042084
K040779,K042084
K945802,K042084
K994292,K042089
K030059,K042089
K022747,K042089
K002045,K042089
K925345,K042091
K031803,K042091
K943586,K042091
K905687,K042091
K042774,K042091
K033871,K042091
K990830,K042091
K021380,K042091
K002757,K042091
K974558,K042091
K021621,K042093
K011138,K042093
K971938,K042093
K954186,K042093
K020876,K042099
K993674,K042099
K982145,K042104
K993617,K042108
K022540,K042108
K032466,K042108
K002817,K042108
K010949,K042108
K020825,K042108
K991786,K042108
K003004,K042109
K881771,K042109
K003285,K042110
K974419,K042110
K990500,K042110
K981424,K042110
K023548,K042117
K032907,K042120
K921111,K042127
K196350,K042127
K954935,K042127
K002996,K042127
K961939,K042127
K991485,K042127
K963509,K042127
K934412,K042127
K843692,K042129
K033821,K042133
K991786,K042148
K033801,K042168
K032945,K042168
K031305,K042160
K031523,K042160
K031710,K042160
K021962,K042160
K000095,K042160
K962516,K042161
K023954,K042165
K033768,K042165
K920402,K042169
K922704,K042173
K030291,K042173
K032013,K042173
K902081,K042175
K013204,K042176
K030090,K042184
K022824,K042188
K001592,K042188
K023049,K042189
K023049,K042191
K023763,K042193
K011154,K042196
K960724,K042197
K992216,K042197
K990148,K042201
K021791,K042201
K922031,K042206
K894317,K042206
K970943,K042208
K944547,K042208
K944574,K042208
K023309,K042209
K023312,K042209
K041030,K042210
K040294,K042211
K952661,K042211
K023543,K042211
K954316,K042211
K033847,K042212
K993944,K042216
K031926,K042216
K000241,K042216
K984552,K042216
K021329,K042216
K031257,K042216
K012315,K042216
K012994,K042217
K942530,K042217
K024019,K042217
K040443,K042221
K013922,K042221
K023505,K042227
K040337,K042228
K990461,K042228
K000842,K042228
K032642,K042228
K033039,K042228
K010566,K042228
K042240,K042230
K023089,K042231
K033761,K042231
K003481,K042232
K021054,K042232
K030690,K042232
K991282,K042232
K940894,K042236
K994345,K042236
K001334,K042236
K032121,K042236
K011311,K042236
K991469,K042250
K023390,K042250
K973450,K042250
K033580,K042252
K002996,K042252
K990369,K042252
K964836,K042254
K012223,K042254
K001179,K042256
K023621,K042256
K020300,K042258
K040482,K042268
K020887,K042268
K011465,K042270
K843530,K042270
K915345,K042270
K031061,K042271
K013991,K042271
K991581,K042271
K024047,K042274
K970184,K042274
K023886,K042274
K963189,K042274
K002152,K042278
K965240,K042291
K011213,K042291
K944354,K042297
K014156,K042305
K032979,K042306
K000822,K042306
K882609,K042306
K990972,K042306
K820164,K042314
K032425,K042314
K010965,K042315
K974496,K042315
K012891,K042316
K023410,K042318
K040617,K042319
K031795,K042319
K022060,K042319
K030710,K042321
K992899,K042321
K032895,K042321
K033280,K042321
K990206,K042322
K012115,K042322
K022041,K042324
K022047,K042324
K992646,K042331
K001953,K042331
K992076,K042331
K001612,K042331
K032259,K042331
K992726,K042331
K992077,K042331
K030620,K042331
K001721,K042331
K992562,K042331
K992546,K042331
K031103,K042331
K041776,K042331
K992059,K042331
K992507,K042331
K992853,K042331
K992108,K042331
K032518,K042331
K992420,K042331
K033119,K042331
K992593,K042331
K991925,K042331
K992296,K042331
K992143,K042331
K020331,K042331
K992568,K042331
K031205,K042331
K992717,K042331
K030933,K042331
K041214,K042331
K001516,K042331
K031727,K042331
K992297,K042331
K992647,K042331
K946126,K042331
K001887,K042331
K033510,K042332
K023309,K042333
K963111,K042333
K904461,K042336
K904481,K042336
K032726,K042337
K874590,K042339
K950204,K042339
K955428,K042339
K030373,K042344
K040191,K042344
K022902,K042344
K031474,K042344
K031495,K042344
K022077,K042344
K219394,K042344
K032646,K042347
K041417,K042347
K022516,K042347
K040310,K042353
K023340,K042353
K032638,K042353
K023322,K042353
K023341,K042353
K032202,K042353
K013922,K042353
K915546,K042359
K002970,K042359
K983337,K042360
K970901,K042369
K010329,K042369
K991611,K042369
K982559,K042370
K021718,K042372
K994358,K042373
K982272,K042373
K001736,K042373
K870028,K042375
K963577,K042375
K021942,K042375
K980430,K042375
K003731,K042376
K855529,K042381
K960081,K042381
K032622,K042381
K973298,K042381
K952638,K042381
K041162,K042383
K964992,K042385
K023061,K042386
K024327,K042388
K022126,K042391
K014256,K042391
K983658,K042394
K023367,K042394
K964852,K042400
K013056,K042400
K921136,K042401
K003780,K042402
K023555,K042402
K023244,K042403
K023306,K042403
K023284,K042403
K980721,K042403
K032433,K042403
K032916,K042403
K030661,K042405
K031249,K042405
K040337,K042405
K853872,K042407
K033374,K042408
K041380,K042408
K020384,K042409
K002757,K042409
K993603,K042409
K982953,K042409
K030358,K042418
K001831,K042410
K034069,K042411
K023016,K042413
K980937,K042413
K873689,K042414
K041584,K042415
K032945,K042415
K033801,K042415
K993036,K042417
K030431,K042417
K961687,K042419
K023366,K042419
K042086,K042419
K030624,K042419
K864221,K042431
K010126,K042435
K984259,K042435
K870961,K042436
K994143,K042436
K994061,K042437
K032705,K042437
K982323,K042438
K022354,K042438
K023984,K042438
K896478,K042439
K960475,K042439
K031224,K042439
K031440,K042439
K953074,K042439
K010780,K042440
K021008,K042440
K013524,K042440
K850536,K042444
K931403,K042445
K970889,K042445
K031231,K042446
K031237,K042446
K961471,K042449
K040498,K042449
K013962,K042453
K954726,K042454
K003790,K042454
K954207,K042455
K022642,K042455
K980808,K042457
K022449,K042457
K940983,K042457
K020905,K042458
K010748,K042459
K973775,K042460
K970434,K042461
K920755,K042461
K954302,K042461
K974015,K042461
K031565,K042472
K001364,K042472
K033850,K042465
K040943,K042465
K040668,K042467
K040665,K042467
K033431,K042467
K021981,K042468
K011957,K042468
K900679,K042470
K980319,K042470
K021902,K042473
K031924,K042475
K012470,K042475
K860894,K042475
K012468,K042475
K002551,K042476
K984288,K042476
K031924,K042477
K963427,K042477
K041720,K042477
K962519,K042479
K042476,K042479
K023398,K042480
K961787,K042480
K031097,K042481
K001361,K042482
K889344,K042482
K981822,K042482
K980074,K042483
K032170,K042483
K003400,K042485
K033908,K042485
K980987,K042486
K980987,K042487
K980069,K042487
K021256,K042489
K892927,K042492
K843603,K042492
K900129,K042492
K892233,K042492
K030129,K042493
K031924,K042494
K964842,K042494
K860894,K042494
K041720,K042494
K991334,K042495
K021975,K042496
K003780,K042498
K792352,K042499
K973854,K042499
K802462,K042499
K034031,K042500
K031594,K042500
K020623,K042500
K022806,K042500
K980987,K042500
K011320,K042501
K010681,K042508
K984377,K042508
K002733,K042508
K022190,K042508
K030103,K042508
K013222,K042508
K041203,K042508
K021306,K042512
K012448,K042512
K021306,K042513
K982721,K042517
K982139,K042517
K000836,K042517
K011569,K042517
K994217,K042514
K023498,K042514
K013558,K042514
K020674,K042514
K030581,K042514
K951987,K042515
K962557,K042515
K991581,K042515
K990290,K042516
K861369,K042516
K011338,K042516
K031924,K042520
K853872,K042520
K984288,K042520
K031924,K042521
K041870,K042521
K860894,K042521
K993310,K042521
K021622,K042522
K003780,K042524
K023555,K042524
K982862,K042525
K023100,K042525
K830292,K042528
K002835,K042528
K023478,K042528
K972243,K042529
K925111,K042529
K032229,K042532
K022888,K042532
K001179,K042532
K012199,K042534
K993413,K042535
K033296,K042536
K991139,K042539
K001083,K042539
K030475,K042539
K100118,K042539
K001183,K042539
K022824,K042540
K040227,K042540
K022303,K042540
K020631,K042543
K914362,K042544
K010680,K042546
K962822,K042546
K993025,K042552
K991298,K042552
K041274,K042552
K941941,K042552
K961280,K042553
K971034,K042553
K974683,K042553
K012749,K042553
K042593,K042553
K002846,K042556
K974678,K042557
K953735,K042557
K954729,K042557
K945660,K042557
K964386,K042558
K033698,K042558
K971511,K042558
K032994,K042559
K032720,K042559
K032719,K042559
K032871,K042560
K030346,K042561
K955648,K042563
K935299,K042563
K981428,K042564
K030456,K042566
K994155,K042568
K013789,K042568
K962503,K042568
K001083,K042568
K003043,K042571
K841189,K042571
K031780,K042571
K040731,K042571
K042577,K042571
K894053,K042572
K944400,K042572
K033483,K042573
K980760,K042573
K971297,K042573
K011721,K042574
K833892,K042576
K981038,K042576
K030987,K042578
K920064,K042578
K800123,K042580
K030358,K042581
K000115,K042587
K872526,K042588
K032968,K042590
K021499,K042591
K033382,K042591
K041656,K042591
K002721,K042592
K980483,K042592
K010950,K042593
K992631,K042593
K033650,K042593
K971873,K042596
K033805,K042598
K000066,K042598
K040593,K042598
K973644,K042616
K032971,K042601
K012389,K042602
K896626,K042604
K932345,K042604
K955764,K042604
K973554,K042604
K982742,K042604
K982884,K042604
K850297,K042604
K910510,K042604
K030982,K042605
K983635,K042607
K040847,K042607
K033498,K042607
K041622,K042607
K031340,K042607
K980208,K042607
K030459,K042609
K011975,K042609
K981841,K042610
K032948,K042610
K945936,K042612
K955558,K042615
K982890,K042615
K962627,K042617
K983139,K042617
K042268,K042714
K031780,K042714
K994385,K042620
K172260,K042620
K973840,K042623
K964518,K042623
K011254,K042627
K022188,K042628
K000312,K042629
K033946,K042630
K030426,K042630
K040103,K042630
K030883,K042630
K935459,K042630
K022266,K042630
K013623,K042630
K001179,K042630
K023340,K042634
K023703,K042636
K021510,K042640
K013301,K042640
K030625,K042640
K011000,K042642
K031924,K042643
K972929,K042643
K041720,K042643
K011447,K042646
K032533,K042647
K032955,K042650
K012885,K042650
K003098,K042651
K040188,K042656
K033600,K042656
K041087,K042656
K012759,K042657
K963903,K042657
K023938,K042657
K031719,K042658
K974150,K042658
K913255,K042658
K032263,K042658
K981516,K042658
K954512,K042658
K011038,K042658
K912549,K042659
K955065,K042659
K900015,K042659
K040039,K042660
K040041,K042661
K040040,K042662
K992065,K042664
K020045,K042664
K992656,K042664
K033280,K042664
K931044,K042665
K896691,K042665
K915816,K042665
K924304,K042665
K914978,K042665
K954352,K042665
K896697,K042665
K011536,K042665
K021565,K042666
K020530,K042666
K031117,K042667
K904953,K042671
K923471,K042671
K973493,K042671
K021945,K042671
K983659,K042671
K962105,K042671
K951883,K042671
K013656,K042671
K991826,K042671
K042677,K042671
K033102,K042674
K944760,K042675
K990222,K042676
K024194,K042678
K872845,K042680
K961837,K042683
K931163,K042683
K993786,K042683
K961840,K042683
K021764,K042684
K922934,K042687
K810891,K042689
K041451,K042690
K960659,K042690
K032866,K042692
K033374,K042694
K013381,K042694
K961413,K042695
K003235,K042695
K961105,K042698
K993413,K042699
K022309,K042699
K020995,K042700
K002911,K042700
K980288,K042702
K032465,K042703
K041647,K042704
K041522,K042705
K974399,K042706
K022360,K042708
K933400,K042709
K992382,K042710
K013225,K042710
K011037,K042713
K031780,K042713
K003818,K042715
K962627,K042718
K020991,K042718
K040320,K042719
K040192,K042720
K033339,K042720
K010968,K042721
K014256,K042721
K023155,K042722
K049050,K042722
K040437,K042723
K032000,K042724
K013930,K042728
K853864,K042728
K914479,K042728
K272728,K042728
K022670,K042729
K965120,K042729
K943186,K042730
K964020,K042731
K963926,K042732
K955774,K042733
K012289,K042733
K003636,K042733
K935928,K042733
K981790,K042733
K032250,K042734
K860894,K042735
K021718,K042736
K033347,K042739
K912581,K042740
K642741,K042741
K012416,K042742
K031339,K042744
K022116,K042744
K000253,K042745
K022697,K042748
K022697,K042749
K033859,K042755
K032026,K042755
K915133,K042757
K023546,K042757
K014153,K042856
K041593,K042856
K031584,K042759
K963111,K042760
K012294,K042761
K001228,K042761
K963111,K042762
K040112,K042766
K040022,K042766
K040086,K042768
K049086,K042768
K960548,K042769
K992727,K042769
K032111,K042770
K041319,K042770
K042044,K042770
K033281,K042771
K033312,K042772
K012516,K042772
K031355,K042772
K031693,K042774
K990830,K042774
K010471,K042775
K961924,K042775
K973714,K042776
K993054,K042777
K002906,K042777
K033804,K042778
K041701,K042779
K032654,K042779
K003256,K042779
K034059,K042781
K030751,K042781
K021373,K042782
K882818,K042782
K033247,K042784
K032085,K042785
K022181,K042785
K030285,K042785
K980547,K042785
K910710,K042786
K040529,K042787
K031145,K042787
K003780,K042789
K032265,K042790
K031655,K042790
K942199,K042792
K040347,K042793
K973598,K042793
K022337,K042793
K990085,K042794
K904124,K042794
K030609,K042794
K963624,K042794
K030602,K042794
K020208,K042795
K040159,K042795
K033524,K042796
K014153,K042796
K040740,K042796
K023992,K042796
K811678,K042797
K199361,K042799
K012686,K042799
K993618,K042799
K881905,K042799
K002544,K042799
K884152,K042799
K930564,K042799
K042081,K042800
K022203,K042800
K874557,K042804
K030585,K042804
K020049,K042809
K031969,K042809
K011025,K042809
K032978,K042810
K032673,K042811
K031955,K042811
K863821,K042812
K982546,K042813
K032229,K042813
K022888,K042813
K012012,K042814
K011579,K042815
K032401,K042816
K031590,K042816
K022147,K042822
K031204,K042822
K971049,K042824
K974049,K042824
K031664,K042828
K832654,K042828
K024026,K042830
K033831,K042832
K946179,K042833
K040502,K042833
K020353,K042833
K993496,K042836
K012513,K042837
K041799,K042838
K973396,K042839
K033782,K042839
K993438,K042841
K861114,K042841
K003363,K042841
K041906,K042842
K032858,K042845
K040259,K042845
K041956,K042845
K040183,K042845
K040357,K042845
K021778,K042845
K041235,K042845
K014159,K042845
K040304,K042845
K031767,K042851
K021363,K042854
K993054,K042855
K022574,K042855
K021036,K042855
K002489,K042855
K990144,K042855
K040237,K042855
K011281,K042855
K011002,K042855
K032061,K042858
K000453,K042859
K032102,K042859
K993895,K042861
K002237,K042861
K992317,K042903
K041543,K042863
K041022,K042863
K991571,K042864
K030745,K042864
K953946,K042864
K022707,K042865
K021016,K042866
K031590,K042867
K040334,K042867
K040970,K042868
K040376,K042868
K970715,K042870
K963862,K042870
K002708,K042872
K024105,K042872
K033675,K042872
K972610,K042874
K000246,K042875
K994355,K042875
K981424,K042875
K031447,K042876
K012546,K042876
K000868,K042879
K040267,K042883
K020023,K042884
K984567,K042884
K993957,K042884
K943956,K042885
K012727,K042885
K032265,K042886
K964685,K042889
K040437,K042890
K021265,K042891
K040831,K042891
K842115,K042893
K845112,K042893
K033783,K042894
K042976,K042896
K011105,K042897
K993951,K042901
K010786,K042902
K040945,K042904
K033957,K042904
K024418,K042908
K023765,K042909
K032452,K042909
K032062,K042909
K041383,K042909
K013139,K042909
K032721,K042909
K040240,K042909
K040922,K042910
K040669,K042911
K870947,K042912
K041575,K042912
K951951,K042912
K020827,K042915
K021492,K042915
K910532,K042918
K800826,K042919
K042235,K042922
K042499,K042922
K040244,K042923
K983848,K042924
K972075,K042927
K980485,K042928
K001668,K042928
K992147,K042928
K020131,K042929
K033267,K042929
K954689,K042929
K972292,K042929
K992645,K042929
K962878,K042929
K964578,K042929
K954115,K042929
K012707,K042929
K012442,K042929
K012737,K042929
K003709,K042930
K042268,K042930
K040928,K042930
K041888,K042930
K042130,K042930
K020321,K042932
K020322,K042932
K020323,K042932
K883955,K042934
K041955,K042935
K984060,K042936
K032763,K042937
K041005,K042938
K011221,K042938
K812424,K042941
K843202,K042941
K033153,K042942
K021368,K042943
K004047,K042944
K010263,K042945
K030985,K042945
K032945,K042947
K991326,K042953
K040442,K042953
K952313,K042956
K001643,K042956
K980319,K042957
K021492,K042957
K955648,K042958
K900679,K042958
K935299,K042958
K032124,K042958
K001991,K042959
K982918,K042959
K041149,K042960
K944261,K042961
K984545,K042961
K042453,K042962
K042949,K042963
K020245,K042964
K982509,K042965
K000643,K042965
K033767,K042965
K031936,K042965
K020056,K042966
K030388,K042966
K040229,K042967
K002115,K042967
K023217,K042969
K032457,K042969
K910526,K042970
K033430,K042971
K980439,K042971
K030007,K042971
K972029,K042971
K994037,K042971
K040714,K042971
K002037,K042971
K032140,K042971
K931767,K042971
K964220,K042971
K972313,K042971
K994376,K042971
K010185,K042971
K031632,K042971
K010458,K042971
K021318,K042971
K965080,K042974
K991625,K042974
K013091,K042974
K950518,K042974
K930660,K042974
K980686,K042974
K020069,K042974
K023066,K042974
K000722,K042979
K033018,K042979
K013041,K042979
K023218,K042979
K000821,K042980
K023062,K042980
K000404,K042981
K040879,K042982
K902154,K042982
K024303,K042985
K040316,K042988
K926107,K042989
K920639,K042989
K042774,K042989
K033871,K042989
K990830,K042989
K021380,K042989
K002757,K042989
K030047,K042989
K030055,K042989
K023357,K042989
K040316,K042990
K030747,K042991
K923024,K042991
K991685,K042991
K001991,K042992
K953111,K042992
K031729,K042993
K040970,K042995
K912776,K042996
K921563,K042996
K905411,K042996
K021219,K042996
K972762,K042996
K980961,K042998
K021555,K042998
K013484,K042998
K020863,K042999
K020245,K043001
K013447,K043001
K031447,K043002
K012663,K043002
K032268,K043005
K042262,K043006
K097261,K043006
K031133,K043008
K780045,K043009
K004017,K043010
K032466,K043010
K021237,K043013
K021059,K043014
K031287,K043015
K033196,K043016
K040502,K043016
K040060,K043016
K042402,K043020
K970427,K043022
K904797,K043022
K960715,K043023
K040995,K043025
K012109,K043028
K993755,K043028
K012110,K043028
K970852,K043030
K003192,K043030
K041111,K043030
K992257,K043031
K020908,K043031
K945491,K043031
K030342,K043032
K043039,K043033
K031094,K043033
K033815,K043034
K952617,K043034
K974399,K043034
K970569,K043034
K012532,K043035
K993362,K043035
K002972,K043035
K001148,K043035
K041970,K043038
K011038,K043042
K041236,K043042
K032263,K043042
K981516,K043042
K954512,K043042
K915444,K043047
K863166,K043047
K913601,K043047
K030946,K043050
K023298,K043050
K950394,K043052
K991790,K043052
K032037,K043053
K032229,K043055
K991683,K043056
K032865,K043056
K030782,K043056
K031449,K043061
K022377,K043061
K020781,K043063
K973312,K043063
K973036,K043063
K040261,K043066
K000536,K043066
K982443,K043066
K945700,K043066
K971883,K043066
K040655,K043066
K000486,K043066
K971730,K043066
K964787,K043067
K933455,K043068
K963778,K043068
K991098,K043068
K032791,K043070
K032145,K043074
K031182,K043074
K952928,K043077
K003728,K043077
K002683,K043077
K994392,K043077
K032679,K043077
K873679,K043077
K041339,K043077
K010631,K043078
K040060,K043078
K020963,K043079
K023102,K043079
K953111,K043079
K040191,K043079
K894317,K043080
K042070,K043080
K002093,K043081
K001122,K043081
K943694,K043082
K990005,K043082
K012489,K043084
K964518,K043084
K970229,K043084
K024344,K043085
K030803,K043085
K040665,K043086
K040577,K043086
K023687,K043086
K040665,K043087
K040577,K043087
K023687,K043087
K974287,K043090
K935046,K043092
K992610,K043092
K033826,K043094
K981282,K043095
K010029,K043096
K992654,K043097
K973501,K043098
K022594,K043098
K031614,K043098
K030710,K043100
K991581,K043101
K933785,K043101
K031061,K043101
K982422,K043104
K033690,K043104
K023346,K043104
K012439,K043104
K974341,K043106
K011172,K043106
K973758,K043106
K003077,K043106
K097358,K043106
K981532,K043108
K004126,K043111
K990426,K043111
K033168,K043112
K021933,K043113
K961433,K043113
K011034,K043113
K913802,K043115
K041751,K043115
K892233,K043115
K033324,K043115
K991343,K043116
K990949,K043120
K030990,K043120
K023641,K043120
K041508,K043122
K000788,K043123
K041950,K043123
K021403,K043123
K031110,K043123
K991851,K043126
K962475,K043127
K991989,K043128
K982133,K043128
K033018,K043130
K013041,K043130
K023218,K043130
K000722,K043130
